pokedex_no,name,type1,type2,moves,hp,attack,defense,special-attack,special-defense,speed
538,throh,fighting,,"[['mega-punch', 'normal'], ['fire-punch', 'fire'], ['ice-punch', 'ice'], ['thunder-punch', 'electric'], ['bind', 'normal'], ['mega-kick', 'normal'], ['body-slam', 'normal'], ['leer', 'normal'], ['low-kick', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['earthquake', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['double-team', 'normal'], ['focus-energy', 'normal'], ['bide', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['snore', 'normal'], ['reversal', 'fighting'], ['protect', 'normal'], ['scary-face', 'normal'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pain-split', 'normal'], ['vital-throw', 'fighting'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['superpower', 'fighting'], ['revenge', 'fighting'], ['brick-break', 'fighting'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['rock-tomb', 'rock'], ['block', 'normal'], ['bulk-up', 'fighting'], ['payback', 'dark'], ['fling', 'dark'], ['poison-jab', 'poison'], ['focus-blast', 'fighting'], ['giga-impact', 'normal'], ['zen-headbutt', 'psychic'], ['stone-edge', 'rock'], ['grass-knot', 'grass'], ['wide-guard', 'rock'], ['storm-throw', 'fighting'], ['low-sweep', 'fighting'], ['round', 'normal'], ['circle-throw', 'fighting'], ['retaliate', 'normal'], ['bulldoze', 'ground'], ['work-up', 'normal'], ['mat-block', 'fighting'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['laser-focus', 'normal'], ['stomping-tantrum', 'ground'], ['coaching', 'fighting']]",120,100,85,30,85,45
539,sawk,fighting,,"[['karate-chop', 'fighting'], ['mega-punch', 'normal'], ['fire-punch', 'fire'], ['ice-punch', 'ice'], ['thunder-punch', 'electric'], ['double-kick', 'fighting'], ['mega-kick', 'normal'], ['leer', 'normal'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['strength', 'normal'], ['earthquake', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['double-team', 'normal'], ['focus-energy', 'normal'], ['bide', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['snore', 'normal'], ['reversal', 'fighting'], ['protect', 'normal'], ['scary-face', 'normal'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pain-split', 'normal'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['superpower', 'fighting'], ['revenge', 'fighting'], ['brick-break', 'fighting'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['rock-tomb', 'rock'], ['block', 'normal'], ['bulk-up', 'fighting'], ['close-combat', 'fighting'], ['payback', 'dark'], ['fling', 'dark'], ['poison-jab', 'poison'], ['focus-blast', 'fighting'], ['giga-impact', 'normal'], ['zen-headbutt', 'psychic'], ['stone-edge', 'rock'], ['grass-knot', 'grass'], ['low-sweep', 'fighting'], ['round', 'normal'], ['quick-guard', 'fighting'], ['retaliate', 'normal'], ['bulldoze', 'ground'], ['work-up', 'normal'], ['dual-chop', 'dragon'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['laser-focus', 'normal'], ['throat-chop', 'dark'], ['coaching', 'fighting']]",75,125,75,30,75,85
540,sewaddle,bug,grass,"[['razor-wind', 'normal'], ['cut', 'normal'], ['tackle', 'normal'], ['take-down', 'normal'], ['razor-leaf', 'grass'], ['solar-beam', 'grass'], ['string-shot', 'bug'], ['toxic', 'poison'], ['agility', 'psychic'], ['screech', 'normal'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['dream-eater', 'psychic'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['mind-reader', 'normal'], ['snore', 'normal'], ['flail', 'normal'], ['protect', 'normal'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['baton-pass', 'normal'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['facade', 'normal'], ['nature-power', 'normal'], ['magic-coat', 'psychic'], ['secret-power', 'normal'], ['camouflage', 'normal'], ['silver-wind', 'bug'], ['signal-beam', 'bug'], ['iron-defense', 'steel'], ['magical-leaf', 'grass'], ['calm-mind', 'psychic'], ['payback', 'dark'], ['me-first', 'normal'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['air-slash', 'flying'], ['bug-buzz', 'bug'], ['energy-ball', 'grass'], ['switcheroo', 'dark'], ['grass-knot', 'grass'], ['bug-bite', 'bug'], ['round', 'normal'], ['struggle-bug', 'bug'], ['electroweb', 'electric'], ['sticky-web', 'bug'], ['grassy-terrain', 'grass'], ['confide', 'normal'], ['lunge', 'bug'], ['grassy-glide', 'grass'], ['skitter-smack', 'bug'], ['tera-blast', 'normal'], ['pounce', 'bug'], ['trailblaze', 'grass']]",45,53,70,40,60,42
541,swadloon,bug,grass,"[['cut', 'normal'], ['tackle', 'normal'], ['take-down', 'normal'], ['razor-leaf', 'grass'], ['solar-beam', 'grass'], ['string-shot', 'bug'], ['toxic', 'poison'], ['screech', 'normal'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['dream-eater', 'psychic'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['flail', 'normal'], ['protect', 'normal'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['baton-pass', 'normal'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['facade', 'normal'], ['nature-power', 'normal'], ['magic-coat', 'psychic'], ['secret-power', 'normal'], ['grass-whistle', 'grass'], ['signal-beam', 'bug'], ['iron-defense', 'steel'], ['magical-leaf', 'grass'], ['calm-mind', 'psychic'], ['payback', 'dark'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['bug-buzz', 'bug'], ['energy-ball', 'grass'], ['switcheroo', 'dark'], ['grass-knot', 'grass'], ['bug-bite', 'bug'], ['round', 'normal'], ['struggle-bug', 'bug'], ['electroweb', 'electric'], ['sticky-web', 'bug'], ['grassy-terrain', 'grass'], ['confide', 'normal'], ['lunge', 'bug'], ['grassy-glide', 'grass'], ['skitter-smack', 'bug'], ['tera-blast', 'normal'], ['pounce', 'bug'], ['trailblaze', 'grass']]",55,63,90,50,80,42
542,leavanny,bug,grass,"[['swords-dance', 'normal'], ['cut', 'normal'], ['tackle', 'normal'], ['take-down', 'normal'], ['hyper-beam', 'normal'], ['low-kick', 'fighting'], ['razor-leaf', 'grass'], ['solar-beam', 'grass'], ['string-shot', 'bug'], ['toxic', 'poison'], ['agility', 'psychic'], ['screech', 'normal'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['dream-eater', 'psychic'], ['flash', 'normal'], ['rest', 'psychic'], ['slash', 'normal'], ['substitute', 'normal'], ['snore', 'normal'], ['protect', 'normal'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['steel-wing', 'steel'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['heal-bell', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['baton-pass', 'normal'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['facade', 'normal'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['magic-coat', 'psychic'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['signal-beam', 'bug'], ['bullet-seed', 'grass'], ['aerial-ace', 'flying'], ['iron-defense', 'steel'], ['magical-leaf', 'grass'], ['calm-mind', 'psychic'], ['leaf-blade', 'grass'], ['payback', 'dark'], ['worry-seed', 'grass'], ['poison-jab', 'poison'], ['seed-bomb', 'grass'], ['air-slash', 'flying'], ['x-scissor', 'bug'], ['bug-buzz', 'bug'], ['energy-ball', 'grass'], ['switcheroo', 'dark'], ['giga-impact', 'normal'], ['shadow-claw', 'ghost'], ['leaf-storm', 'grass'], ['grass-knot', 'grass'], ['bug-bite', 'bug'], ['hone-claws', 'dark'], ['entrainment', 'normal'], ['round', 'normal'], ['retaliate', 'normal'], ['struggle-bug', 'bug'], ['electroweb', 'electric'], ['fell-stinger', 'bug'], ['grassy-terrain', 'grass'], ['confide', 'normal'], ['laser-focus', 'normal'], ['throat-chop', 'dark'], ['pollen-puff', 'bug'], ['lunge', 'bug'], ['grassy-glide', 'grass'], ['skitter-smack', 'bug'], ['triple-axel', 'ice'], ['tera-blast', 'normal'], ['pounce', 'bug'], ['trailblaze', 'grass']]",75,103,80,70,80,92
543,venipede,bug,poison,"[['take-down', 'normal'], ['double-edge', 'normal'], ['poison-sting', 'poison'], ['twineedle', 'bug'], ['pin-missile', 'bug'], ['bite', 'dark'], ['solar-beam', 'grass'], ['toxic', 'poison'], ['agility', 'psychic'], ['screech', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['protect', 'normal'], ['sludge-bomb', 'poison'], ['spikes', 'ground'], ['endure', 'normal'], ['rollout', 'rock'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pursuit', 'dark'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['signal-beam', 'bug'], ['iron-defense', 'steel'], ['poison-tail', 'poison'], ['gyro-ball', 'steel'], ['payback', 'dark'], ['toxic-spikes', 'poison'], ['poison-jab', 'poison'], ['rock-climb', 'normal'], ['bug-bite', 'bug'], ['venoshock', 'poison'], ['round', 'normal'], ['hex', 'ghost'], ['struggle-bug', 'bug'], ['steamroller', 'bug'], ['confide', 'normal'], ['venom-drench', 'poison'], ['infestation', 'bug'], ['steel-roller', 'steel'], ['skitter-smack', 'bug']]",30,45,59,30,39,57
544,whirlipede,bug,poison,"[['take-down', 'normal'], ['double-edge', 'normal'], ['poison-sting', 'poison'], ['pin-missile', 'bug'], ['solar-beam', 'grass'], ['toxic', 'poison'], ['agility', 'psychic'], ['screech', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['protect', 'normal'], ['sludge-bomb', 'poison'], ['spikes', 'ground'], ['endure', 'normal'], ['rollout', 'rock'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pursuit', 'dark'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['signal-beam', 'bug'], ['iron-defense', 'steel'], ['poison-tail', 'poison'], ['gyro-ball', 'steel'], ['payback', 'dark'], ['toxic-spikes', 'poison'], ['poison-jab', 'poison'], ['rock-climb', 'normal'], ['bug-bite', 'bug'], ['venoshock', 'poison'], ['round', 'normal'], ['hex', 'ghost'], ['struggle-bug', 'bug'], ['steamroller', 'bug'], ['confide', 'normal'], ['venom-drench', 'poison'], ['infestation', 'bug'], ['steel-roller', 'steel'], ['skitter-smack', 'bug']]",40,55,99,40,79,47
545,scolipede,bug,poison,"[['swords-dance', 'normal'], ['cut', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['poison-sting', 'poison'], ['pin-missile', 'bug'], ['hyper-beam', 'normal'], ['strength', 'normal'], ['solar-beam', 'grass'], ['earthquake', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['agility', 'psychic'], ['screech', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['snore', 'normal'], ['protect', 'normal'], ['sludge-bomb', 'poison'], ['spikes', 'ground'], ['endure', 'normal'], ['rollout', 'rock'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['megahorn', 'bug'], ['baton-pass', 'normal'], ['pursuit', 'dark'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['superpower', 'fighting'], ['endeavor', 'normal'], ['snatch', 'dark'], ['secret-power', 'normal'], ['rock-tomb', 'rock'], ['signal-beam', 'bug'], ['iron-defense', 'steel'], ['poison-tail', 'poison'], ['gyro-ball', 'steel'], ['payback', 'dark'], ['assurance', 'dark'], ['toxic-spikes', 'poison'], ['poison-jab', 'poison'], ['aqua-tail', 'water'], ['x-scissor', 'bug'], ['giga-impact', 'normal'], ['rock-climb', 'normal'], ['cross-poison', 'poison'], ['bug-bite', 'bug'], ['venoshock', 'poison'], ['round', 'normal'], ['hex', 'ghost'], ['struggle-bug', 'bug'], ['bulldoze', 'ground'], ['steamroller', 'bug'], ['confide', 'normal'], ['venom-drench', 'poison'], ['infestation', 'bug'], ['throat-chop', 'dark'], ['smart-strike', 'steel'], ['stomping-tantrum', 'ground'], ['steel-roller', 'steel'], ['skitter-smack', 'bug']]",60,100,89,55,69,112
546,cottonee,grass,fairy,"[['absorb', 'grass'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['growth', 'normal'], ['razor-leaf', 'grass'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['stun-spore', 'grass'], ['toxic', 'poison'], ['double-team', 'normal'], ['swift', 'normal'], ['dream-eater', 'psychic'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['cotton-spore', 'grass'], ['protect', 'normal'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['encore', 'normal'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['beat-up', 'dark'], ['memento', 'dark'], ['facade', 'normal'], ['nature-power', 'normal'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['knock-off', 'dark'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['fake-tears', 'dark'], ['grass-whistle', 'grass'], ['tickle', 'normal'], ['covet', 'normal'], ['natural-gift', 'normal'], ['tailwind', 'flying'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['energy-ball', 'grass'], ['switcheroo', 'dark'], ['defog', 'flying'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['round', 'normal'], ['cotton-guard', 'grass'], ['grassy-terrain', 'grass'], ['misty-terrain', 'fairy'], ['fairy-wind', 'fairy'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['grassy-glide', 'grass'], ['tera-blast', 'normal']]",40,27,60,37,50,66
547,whimsicott,grass,fairy,"[['gust', 'flying'], ['hyper-beam', 'normal'], ['absorb', 'grass'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['growth', 'normal'], ['razor-leaf', 'grass'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['stun-spore', 'grass'], ['toxic', 'poison'], ['psychic', 'psychic'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['swift', 'normal'], ['dream-eater', 'psychic'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['cotton-spore', 'grass'], ['protect', 'normal'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['encore', 'normal'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['shadow-ball', 'ghost'], ['beat-up', 'dark'], ['memento', 'dark'], ['facade', 'normal'], ['nature-power', 'normal'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['knock-off', 'dark'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['fake-tears', 'dark'], ['tickle', 'normal'], ['covet', 'normal'], ['tailwind', 'flying'], ['u-turn', 'bug'], ['fling', 'dark'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['energy-ball', 'grass'], ['switcheroo', 'dark'], ['giga-impact', 'normal'], ['defog', 'flying'], ['trick-room', 'psychic'], ['grass-knot', 'grass'], ['round', 'normal'], ['cotton-guard', 'grass'], ['hurricane', 'flying'], ['grassy-terrain', 'grass'], ['misty-terrain', 'fairy'], ['play-rough', 'fairy'], ['fairy-wind', 'fairy'], ['moonblast', 'fairy'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['grassy-glide', 'grass'], ['tera-blast', 'normal']]",60,67,85,77,75,116
548,petilil,grass,,"[['cut', 'normal'], ['absorb', 'grass'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['growth', 'normal'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['stun-spore', 'grass'], ['sleep-powder', 'grass'], ['toxic', 'poison'], ['double-team', 'normal'], ['recover', 'normal'], ['bide', 'normal'], ['dream-eater', 'psychic'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['protect', 'normal'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['heal-bell', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['encore', 'normal'], ['sweet-scent', 'normal'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['facade', 'normal'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['ingrain', 'grass'], ['secret-power', 'normal'], ['aromatherapy', 'grass'], ['grass-whistle', 'grass'], ['bullet-seed', 'grass'], ['covet', 'normal'], ['magical-leaf', 'grass'], ['healing-wish', 'psychic'], ['natural-gift', 'normal'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['energy-ball', 'grass'], ['leaf-storm', 'grass'], ['grass-knot', 'grass'], ['entrainment', 'normal'], ['after-you', 'normal'], ['round', 'normal'], ['confide', 'normal'], ['leafage', 'grass'], ['laser-focus', 'normal'], ['pollen-puff', 'bug'], ['grassy-glide', 'grass'], ['tera-blast', 'normal'], ['trailblaze', 'grass']]",45,35,50,70,50,30
549,lilligant,grass,,"[['swords-dance', 'normal'], ['cut', 'normal'], ['hyper-beam', 'normal'], ['absorb', 'grass'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['growth', 'normal'], ['solar-beam', 'grass'], ['stun-spore', 'grass'], ['sleep-powder', 'grass'], ['petal-dance', 'grass'], ['toxic', 'poison'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['dream-eater', 'psychic'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['protect', 'normal'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['heal-bell', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['encore', 'normal'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['facade', 'normal'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['role-play', 'psychic'], ['secret-power', 'normal'], ['teeter-dance', 'normal'], ['weather-ball', 'normal'], ['aromatherapy', 'grass'], ['bullet-seed', 'grass'], ['covet', 'normal'], ['magical-leaf', 'grass'], ['leaf-blade', 'grass'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['energy-ball', 'grass'], ['giga-impact', 'normal'], ['leaf-storm', 'grass'], ['grass-knot', 'grass'], ['quiver-dance', 'bug'], ['entrainment', 'normal'], ['after-you', 'normal'], ['round', 'normal'], ['petal-blizzard', 'grass'], ['grassy-terrain', 'grass'], ['confide', 'normal'], ['solar-blade', 'grass'], ['laser-focus', 'normal'], ['pollen-puff', 'bug'], ['grassy-glide', 'grass'], ['tera-blast', 'normal'], ['trailblaze', 'grass'], ['alluring-voice', 'fairy']]",70,60,75,110,75,90
550,basculin-red-striped,water,,"[['cut', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['take-down', 'normal'], ['thrash', 'normal'], ['double-edge', 'normal'], ['tail-whip', 'normal'], ['bite', 'dark'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['bubble-beam', 'water'], ['hyper-beam', 'normal'], ['toxic', 'poison'], ['agility', 'psychic'], ['rage', 'normal'], ['double-team', 'normal'], ['waterfall', 'water'], ['swift', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['flail', 'normal'], ['reversal', 'fighting'], ['protect', 'normal'], ['scary-face', 'normal'], ['icy-wind', 'ice'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['crunch', 'dark'], ['whirlpool', 'water'], ['uproar', 'normal'], ['hail', 'ice'], ['facade', 'normal'], ['taunt', 'dark'], ['superpower', 'fighting'], ['revenge', 'fighting'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['muddy-water', 'water'], ['bounce', 'flying'], ['mud-shot', 'ground'], ['water-pulse', 'water'], ['brine', 'water'], ['assurance', 'dark'], ['aqua-tail', 'water'], ['giga-impact', 'normal'], ['ice-fang', 'ice'], ['zen-headbutt', 'psychic'], ['aqua-jet', 'water'], ['head-smash', 'rock'], ['soak', 'water'], ['round', 'normal'], ['chip-away', 'normal'], ['scald', 'water'], ['final-gambit', 'fighting'], ['confide', 'normal'], ['psychic-fangs', 'psychic'], ['liquidation', 'water'], ['scale-shot', 'dragon'], ['flip-turn', 'water'], ['wave-crash', 'water'], ['tera-blast', 'normal'], ['snowscape', 'ice'], ['chilling-water', 'water']]",70,92,65,80,55,98
551,sandile,ground,dark,"[['cut', 'normal'], ['sand-attack', 'ground'], ['body-slam', 'normal'], ['take-down', 'normal'], ['thrash', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['bite', 'dark'], ['roar', 'normal'], ['counter', 'fighting'], ['earthquake', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['rage', 'normal'], ['double-team', 'normal'], ['focus-energy', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['spite', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['sludge-bomb', 'poison'], ['mud-slap', 'ground'], ['sandstorm', 'rock'], ['endure', 'normal'], ['swagger', 'normal'], ['mean-look', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pursuit', 'dark'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['crunch', 'dark'], ['beat-up', 'dark'], ['uproar', 'normal'], ['torment', 'dark'], ['facade', 'normal'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['snatch', 'dark'], ['secret-power', 'normal'], ['rock-tomb', 'rock'], ['sand-tomb', 'ground'], ['mud-shot', 'ground'], ['payback', 'dark'], ['assurance', 'dark'], ['embargo', 'dark'], ['fling', 'dark'], ['me-first', 'normal'], ['dark-pulse', 'dark'], ['aqua-tail', 'water'], ['earth-power', 'ground'], ['shadow-claw', 'ghost'], ['thunder-fang', 'electric'], ['fire-fang', 'fire'], ['rock-climb', 'normal'], ['stone-edge', 'rock'], ['stealth-rock', 'rock'], ['grass-knot', 'grass'], ['hone-claws', 'dark'], ['foul-play', 'dark'], ['round', 'normal'], ['incinerate', 'fire'], ['retaliate', 'normal'], ['bulldoze', 'ground'], ['snarl', 'dark'], ['confide', 'normal'], ['power-trip', 'dark'], ['stomping-tantrum', 'ground'], ['skitter-smack', 'bug'], ['lash-out', 'dark'], ['scorching-sands', 'ground'], ['tera-blast', 'normal']]",50,72,35,35,35,65
552,krokorok,ground,dark,"[['mega-punch', 'normal'], ['cut', 'normal'], ['mega-kick', 'normal'], ['sand-attack', 'ground'], ['body-slam', 'normal'], ['take-down', 'normal'], ['thrash', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['bite', 'dark'], ['roar', 'normal'], ['low-kick', 'fighting'], ['strength', 'normal'], ['earthquake', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['rage', 'normal'], ['double-team', 'normal'], ['focus-energy', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['spite', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['sludge-bomb', 'poison'], ['mud-slap', 'ground'], ['sandstorm', 'rock'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['crunch', 'dark'], ['rock-smash', 'fighting'], ['beat-up', 'dark'], ['uproar', 'normal'], ['torment', 'dark'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['revenge', 'fighting'], ['brick-break', 'fighting'], ['knock-off', 'dark'], ['endeavor', 'normal'], ['snatch', 'dark'], ['secret-power', 'normal'], ['rock-tomb', 'rock'], ['sand-tomb', 'ground'], ['aerial-ace', 'flying'], ['dragon-claw', 'dragon'], ['mud-shot', 'ground'], ['payback', 'dark'], ['assurance', 'dark'], ['embargo', 'dark'], ['fling', 'dark'], ['dark-pulse', 'dark'], ['aqua-tail', 'water'], ['earth-power', 'ground'], ['shadow-claw', 'ghost'], ['thunder-fang', 'electric'], ['fire-fang', 'fire'], ['stone-edge', 'rock'], ['stealth-rock', 'rock'], ['grass-knot', 'grass'], ['hone-claws', 'dark'], ['low-sweep', 'fighting'], ['foul-play', 'dark'], ['round', 'normal'], ['incinerate', 'fire'], ['retaliate', 'normal'], ['bulldoze', 'ground'], ['dragon-tail', 'dragon'], ['snarl', 'dark'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['power-trip', 'dark'], ['brutal-swing', 'dark'], ['stomping-tantrum', 'ground'], ['breaking-swipe', 'dragon'], ['scale-shot', 'dragon'], ['skitter-smack', 'bug'], ['lash-out', 'dark'], ['scorching-sands', 'ground'], ['tera-blast', 'normal']]",60,82,45,45,45,74
